firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
Diageo,2021-01-29, MDM Analyst,"Current Employee, more than 5 years",Bangalore,4,2.0,2.0,4.0,3.0,3.0,4.0,x,v,v,.,"Good place to work, decent compensation","work culture is based on the particular team you find yourself in, not always the best or even good"
Diageo,2021-01-12, Sales Executive,Current Employee,Johannesburg,4,5.0,5.0,5.0,4.0,4.0,3.0,v,v,v,People focused organisation,work/life balance is important to the company,management styles are an issue
Diageo,2020-11-02, Gerente,Former Employee,"São Paulo, São Paulo, São Paulo",4,3.0,4.0,3.0,3.0,3.0,4.0,v,o,x,Great Place,Development global knowledge bonus people,Salaries lack of organization big egos
Diageo,2021-03-09, Financial Controlling Analyst,Current Employee,Taguig,3,2.0,3.0,5.0,3.0,4.0,3.0,x,o,x,Pros and cons are there,"Competitive salary and benefits
Great people in the organization
Premium Brand","No work-life balance
Unclear promotion standards
Poor leadership and team management"
Diageo,2021-03-31, Analyst,"Current Employee, more than 3 years",Budapest,5,3.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great place to work,"Good community, nice office, flexible work time, attractive salary","Full calendars, lot of things to deliver, easy to loose work-life balance"
Diageo,2021-03-30, Marketing Manager,"Current Employee, more than 5 years",Sydney,5,4.0,4.0,4.0,5.0,5.0,5.0,v,v,r,Great employer,Work in the booze industry and meet great people,Expense reports and pushy clients
Diageo,2021-05-13, Senior Customer Marketing Manager,Former Employee,"London, England, England",4,5.0,4.0,4.0,3.0,3.0,3.0,v,v,v,Brilliant place to develop with fantastic brands and talent,"Fantastic brands
Good processes for big brands
Global reach","Cost cutting with short term focus as a PLC
Not the most open to internal moves
A business that manages big brands or purchases rather than develops from scratch as a cautious culture"
Diageo,2021-03-26, Global Digital Content Manager,"Former Employee, more than 3 years",Amsterdam,3,3.0,3.0,4.0,3.0,3.0,3.0,x,v,o,It's ok,"Good marketeers, true brand builders
If they like you, plenty of ways to grow (go abroad, try out different directions to become allround)","Too much politics
Constant change of direction, no vision
Long hours due to inefficiencies
The higher up, the more it matters who you know vs what you do
Doesn't pay enough for what you are asked to deliver"
Diageo,2021-03-04, Cyber Security Lead,"Current Employee, more than 1 year",Bangalore Rural,4,5.0,4.0,5.0,4.0,5.0,4.0,v,v,x,Best product based company,"Good salary, medical benefits, work life balance","No vision for IT, less enagaged with managers"
Diageo,2020-10-28, Corporate EHS,"Former Employee, less than 1 year",Bangalore,4,3.0,4.0,3.0,4.0,4.0,4.0,o,v,o,EHS Function,"Flexible timings, competent staff to deal with the particular subject.",Did not find anything as such
Diageo,2021-02-19, Assistant Manager,Current Employee,Hyderābād,5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Good,Good Place to work.Friendly environment to work.Good leadership,Not Applicable. Very good place to work with zero negative things
Diageo,2021-03-22, Finance Manager,"Current Employee, more than 5 years","Stamford, CT",3,4.0,3.0,3.0,4.0,4.0,3.0,v,v,v,Finance Manager,"Good benefits & people, fun brands",Leadership is constantly changing causing issues
Diageo,2021-02-14, General Manager,"Current Employee, more than 3 years",Bangalore,4,4.0,5.0,5.0,4.0,4.0,3.0,v,v,v,Overall a good place to work,"Diversity & Inclusion, Company values","Poor retention of talent, short term vision"
Diageo,2020-10-28, Senior Data Analyst,"Current Employee, less than 1 year",Budapest,5,4.0,5.0,5.0,5.0,4.0,4.0,v,r,v,Rewarding and Interesting,"The company pays well for the country. Everyone I have worked with has been extremely kind yet constructive, allowing me to learn a lot in the time I have been here. The culture is very open and international, and it feels like the company truly cares about not only how they impact their own employees, but also the world beyond the company as well.","I feel the company relies on contractors a bit too much instead of acquiring its own talent, but the problems that arise from this are relatively minor."
Diageo,2021-01-07, Anonymous Employee,"Current Employee, more than 1 year","London, England, England",2,1.0,2.0,3.0,1.0,3.0,2.0,x,r,r,Traditional and Complacent,"Collaborative, knowledge of industry, Some great people","Old school mindset, lack of accountability and quick decisions, productivity supercedes value creation"
Diageo,2020-11-06, Salesforce Developer,Current Employee,Bangalore,5,4.0,5.0,4.0,5.0,5.0,5.0,v,v,v,Awesome company to work and grow,"Awesome company to work , Learn Several Technologies, leadership and grow .
Very Cooperative Management and awesome benefits.",Awesome Company and Brand . No Cons
Diageo,2020-12-26, Manager,"Current Employee, more than 3 years",New Delhi,5,3.0,5.0,5.0,5.0,5.0,3.0,o,o,o,Sales & Marketing,Problem Solving skills - solution,Lets talk to figure this one out
Diageo,2021-05-21, Internship,Former Employee,"Miami, FL",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Diageo intern experience,good working environment. The business culture is admirable.,high level of hierarchy. Obstacles when working remotely
Diageo,2021-05-10, Key Account Manager (KAM),"Current Employee, more than 10 years",Athens,4,3.0,2.0,4.0,4.0,4.0,2.0,v,v,v,A profesional class / journey,"Brands, passion, non stop learning, procedures","Culture, overload, people management, top down management"
Diageo,2021-03-25, Marketing Manager,"Former Employee, less than 1 year",Amsterdam,4,2.0,4.0,2.0,3.0,4.0,4.0,o,o,o,great people,"super brands, great people, top experience",work life balance was tough
Dixons-Carphone,2020-10-26, Branch Manager,"Former Employee, more than 3 years","Newcastle upon Tyne, England, England",3,3.0,2.0,2.0,3.0,2.0,3.0,v,x,r,Just like any other retail position,More often than not the team were passionate and committed to sales and customer service. Regular training and promotions and competitions were great.,Off boarding process is a little messy. Customer service decisions can be a little obscure but mostly if you can justify the decision management are fine
Dixons-Carphone,2020-10-13, Sales Colleague ,"Current Employee, more than 1 year","London, England, England",3,3.0,3.0,3.0,2.0,2.0,2.0,x,r,r,Wouldn’t recommend,Some lovely customers and colleagues,"Unrealistic targets
Lazy management
Unreliable systems
Poor stock levels resulting in unhappy customers"
Dixons-Carphone,2020-12-09, Customer Assistant,Former Employee,"London, England, England",2,4.0,1.0,4.0,3.0,4.0,2.0,o,o,o,Pressured,Good for students looking for a part-time position.,Too much pressure on target hitting!
Dixons-Carphone,2021-03-23, Shop Floor Assistant,"Former Employee, more than 1 year","Chatham, England, England",3,3.0,3.0,3.0,2.0,2.0,2.0,v,r,r,Decent Experience,training was extensive enough to do my specific role,not enough training in others roles which i was expected to do
Dixons-Carphone,2021-06-04, Customer Consultant,"Former Employee, more than 1 year","Leicester, England, England",4,3.0,3.0,4.0,2.0,4.0,3.0,v,r,v,Good place to work while studying,Flexible working hours and the team was excellent to be a part of,Lots of focus on targets which some people may not like
Dixons-Carphone,2021-05-05, Floor Manager,Former Employee,"Swansea, Wales, Wales",4,4.0,4.0,5.0,5.0,3.0,4.0,v,v,v,not a job for life,great incentives and prizes to be won all year,not a career for life not enough money
Dixons-Carphone,2021-02-05, Sales Associate,"Former Employee, more than 1 year","London, England, England",3,2.0,2.0,2.0,2.0,2.0,2.0,x,r,r,Sales team,Good discounts from time to time,not a lot of motivation
Dixons-Carphone,2020-11-10, Sales Advisor,"Former Employee, more than 3 years","Harlow, England, England",3,3.0,4.0,4.0,3.0,3.0,4.0,v,r,r,Recommend,"great team, supportive management, learning facilities, on going training.",more pressure to achieve KPI's but less incentives and no commission.
Dixons-Carphone,2020-11-24, Sales Assistant,"Former Employee, less than 1 year","Chelmsford, England, England",3,1.0,3.0,4.0,2.0,2.0,2.0,x,x,x,Nice PLace,"Nice people, good atmosphere, good pay",Sometimes management get annoyed when quotas arnt met and are a little stressy
Dixons-Carphone,2021-03-29, Sales Associate,"Current Employee, more than 3 years","Bangor, Northern Ireland, Northern Ireland",5,3.0,5.0,5.0,3.0,3.0,5.0,v,v,v,Great company,Great place to work for if you enjoy technology and management always helpful. Made friends for life in there,If you don’t enjoy sales then this isn’t for you
Dixons-Carphone,2021-03-14, Retail Manager,"Current Employee, more than 10 years","Edinburgh, Scotland, Scotland",4,3.0,4.0,5.0,3.0,4.0,4.0,v,v,r,Upgrade and improve!,The colleagues make the company,Systems are counter intuitive and painfully slow.
Dixons-Carphone,2020-10-19, Regional Manager,"Former Employee, more than 10 years","Leeds, England, England",4,3.0,2.0,4.0,4.0,3.0,3.0,v,r,x,Gave me a fantastic careers and many opportunities.,"Pay, people, development, great products, diverse business","work-life balance, too complex, lack of people focus, systems, static culture"
Dixons-Carphone,2021-03-17, Offers Advisor,"Former Employee, less than 1 year","Greece, NY",4,3.0,4.0,5.0,4.0,3.0,5.0,v,v,v,Very Good,Proper and Nice enviroment to work,There are not to many cons
Dixons-Carphone,2020-11-23, Warehouse Worker,"Former Employee, more than 5 years","Newark on Trent, England, England",3,4.0,2.0,2.0,3.0,5.0,2.0,x,x,v,Good Company if you know the right people,"Great People, and colleagues who know what works",Too close re knowing the right people
Dixons-Carphone,2020-12-12, Repairs,"Former Employee, more than 1 year","Portsmouth, South East England, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,x,Eh,"They hire salesmen, so coworkers are usually pretty fun","Everything else is terrible, no lie"
Dixons-Carphone,2020-10-14, Laptop Technician,Current Employee,"Newark on Trent, England, England",4,4.0,4.0,4.0,3.0,4.0,4.0,v,r,r,Good company to work for,Good pay and shift (4 on 4 off),12 hour days and no phones allowed
Dixons-Carphone,2021-02-18, Administrator,"Former Employee, more than 5 years","Newark on Trent, England, England",4,3.0,3.0,3.0,3.0,3.0,3.0,v,v,v,Admin job,"Flexible working, good colleagues, good offices","Pay, ability to progress, system issues"
Dixons-Carphone,2020-12-20, Financial Planning and Analysis Manager,"Former Employee, more than 10 years","London, England, England",4,3.0,3.0,5.0,4.0,4.0,4.0,v,r,v,Exciting place to work,Large business with a number of activities and large finance team giving many opportunities to work in different finance functions across a variety of operational functions.,Undergoing major transformation programme which whilst giving rise to opportunities also comes with risk of roles changing significantly or disappearing entirely.
Dixons-Carphone,2021-04-21, Regional Manager,"Former Employee, more than 10 years","Prestwick, Scotland, Scotland",4,4.0,4.0,5.0,4.0,4.0,4.0,v,v,v,"Good company to work for, very forward thinking and strategically focused.",Good team culture and working environment.,Will suit a target focused individual.
Dixons-Carphone,2021-03-18, Sales Assistant,"Current Employee, more than 5 years","Glasgow, Scotland, Scotland",3,3.0,4.0,5.0,4.0,3.0,3.0,x,r,r,Enjoyable yet pressured,Holidays and staff are friendly,High pressure to hit sales targets
Dixons-Carphone,2021-03-12, Sales Colleague ,"Former Employee, less than 1 year","Slough, Buckinghamshire, South East England, England, England",3,3.0,3.0,3.0,3.0,3.0,3.0,v,v,v,Lots of learning but hiring process is too slow,training and wide scope of learning,"Hiring process very slow,and staff is confused"
Dixons-Carphone,2020-10-17, Branch Manager,"Current Employee, more than 5 years","Oldham, England, England",5,2.0,5.0,5.0,5.0,4.0,5.0,v,v,v,Best Employer ever,Flexible Great work colleague and training,Old systems that need updating sometimes dealing with public can get hard
Dixons-Carphone,2021-04-06, Sales Associate,"Current Employee, less than 1 year","Worksop, England, England",4,4.0,3.0,3.0,2.0,4.0,4.0,v,r,r,pretty good,lots of training available and support,"not many, theres not much wrong with the actual job"
Dixons-Carphone,2021-04-25, Anonymous Employee,"Former Employee, more than 1 year","Bristol, England, England",3,3.0,3.0,3.0,3.0,3.0,3.0,x,r,r,Promising business with a messy organisational structure,"Cooked meals in the cafeteria everyday with vegan options, good office layout, talented team members","No carrier development plan, not enough interest in future goals of employees. Focusing on delivering MVP."
Dixons-Carphone,2021-03-19, Sales,"Former Employee, more than 5 years","Wirral, England, England",2,1.0,1.0,2.0,1.0,1.0,1.0,x,r,r,Poor company,People you work with in store,"No care for employees
Minimum wage 
Long hours
No consistent days off
No weekends
Lost my job via Twitter one morning"
Dixons-Carphone,2020-11-03, Senior Manager,"Former Employee, more than 1 year","Acton, London, England, England",1,2.0,1.0,1.0,1.0,2.0,1.0,x,x,x,A company treating employees with contempt,"If you want to work for a company that behaves like a dinosaur, this is your place.","Many sounds or redundancies per year, watch out. Not a stable place to work.
HR changes policies that affect your contract without telling anyone.
HR doesn't deal with any issues you may have. You are treated with contempt.
Diversity is an interesting concept. Diversity is welcomed, as long as you earn the minimum wage
People don't get paid on time, ""IT issues"""
Dixons-Carphone,2021-03-27, Sales Associate,"Current Employee, more than 1 year","Dublin, Dublin",3,4.0,3.0,5.0,3.0,4.0,3.0,x,o,o,Sales,"Friendships, flexibility in working hours.",External factors make internal working conditions difficult
Dixons-Carphone,2021-03-25, Customer Advisor,"Former Employee, less than 1 year","Oxford, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Help customers make the right choice by description products and sharing knowledge,Great place of work. People I worked with were amazing and friendly,Can’t say anything bad at the moment
Dixons-Carphone,2021-01-27, Dixons Carphone,"Current Employee, more than 1 year","New London, WI",4,4.0,2.0,5.0,4.0,2.0,3.0,v,v,v,Great,There's always recognition for good work,Pay could be much higher.
Dixons-Carphone,2021-04-27, Customer Consultant,"Current Employee, more than 8 years","London, England, England",4,4.0,3.0,3.0,5.0,5.0,5.0,v,v,v,Good company,"Interesting products and services
Friendly colleagues 
staff discount 
Promotion opportunities",Some challenging customers no nice
Dixons-Carphone,2020-10-21, Sales Assistant,"Former Employee, less than 1 year","Farmborough, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,x,Poor management,Good pay for a 16/17 yr old and good experience working with customers,"Managers are awful, the business practices such as trying to flog a 40 quid cable people don't need for a 4k tv is disgusting. I had sales colleges whisper in my ear at times ""the cable is pointless but try to sell as much as you can"". They literally try to deceive every customer that walks in and they know it full well. Don't spend your money there!"
Dixons-Carphone,2021-01-20, Sales Assistant,"Former Employee, more than 3 years","Dublin, CA",3,3.0,3.0,4.0,2.0,3.0,2.0,x,r,r,Reasonable,Great team and job satisfaction,Unrealistic targets and pressure on sales
Dixons-Carphone,2021-02-03, GTM Marketing Manager,"Former Employee, less than 1 year","Acton, London, England, England",2,4.0,1.0,5.0,3.0,3.0,2.0,x,v,x,Come back in a couple of years time,"Amazing digital team infrastructure
Company gym
On site starbucks
People",Due to the nature of 2 brands joining there are some senior members that cannot understand that 2 brand can work and operate together when merged. I hated the culture my director nurtured for this reason. It was a very 'you can't sit with us' mentality. Luckily that director has now been made redundant
Dixons-Carphone,2021-01-18, Delivery Driver,"Former Employee, more than 1 year","Liverpool, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,x,Awful absolutely awfully run company. Avoid,None just stay well clear,Leaving the company and letting others know
Dixons-Carphone,2021-03-04, Sales Associate,"Former Employee, more than 1 year","Manchester, England, England",3,2.0,3.0,2.0,2.0,2.0,3.0,x,x,x,Professionalism,Some of the people were nice and the shops near were good,The management team were not professional
Dixons-Carphone,2020-11-25, Sales Associate,"Current Employee, less than 1 year","Chelmsford, England, England",5,5.0,5.0,5.0,4.0,3.0,5.0,v,r,v,Great Company,"Very friendly
great chance to prove yourself",some of the training is unneeded
Dixons-Carphone,2020-10-30, Customer Experience Team Manager,Current Employee,"Warrington, North West England, England, England",5,5.0,5.0,5.0,1.0,3.0,5.0,v,r,r,Great place to work,"People and the atmosphere, good working environment","Pay, big gaps between roles and not on par with what is available in the area"
Dixons-Carphone,2021-01-13, Sales Colleague,"Former Employee, more than 1 year","London, England, England",4,5.0,2.0,5.0,2.0,3.0,3.0,v,v,v,Excellent part time job for students. Will not recommend to work full time.,"- Flexible hours
- Decent Pay","- Work pressure is high
- Tiring"
Dixons-Carphone,2021-03-13, Ecommerce Graduate Scheme,"Current Employee, more than 3 years","London, England, England",4,5.0,3.0,3.0,4.0,4.0,4.0,v,v,x,"Can be slightly disorganised, but generally work with very good people, value training and staff happiness","Kind managers, flexible working, competitive salary, value training and employee happiness","Can be quite disorganised, periodic redundancies in the business, a lot of overlap between different people's roles"
Dixons-Carphone,2021-03-15, Dixons Carphone,"Former Employee, more than 5 years","Portsmouth, South East England, England, England",3,4.0,5.0,5.0,3.0,3.0,3.0,v,r,x,Flexible,"Flexible, friendly staff and management",You don't receive a 100% bonus unless the store hits certain targets.
Dixons-Carphone,2021-01-26, Sales Assistant,"Former Employee, more than 3 years","Ashford, Kent, South East England, England, England",1,1.0,1.0,4.0,1.0,4.0,1.0,v,r,r,Salary,Commission is okay can be good,Management isn’t the best can be bad
Dixons-Carphone,2021-05-29, Sales Advisor,"Former Employee, more than 3 years","Leeds, England, England",2,3.0,1.0,3.0,1.0,2.0,1.0,x,r,r,Exploits its underage employees,Some stores can be fun to work in depends on the management,"- very poor organisation of staff members 
- general managers are full of themselves 
- assistant managers are just the general managers teachers pets"
Dixons-Carphone,2021-02-28, Assistant Buyer,Former Employee,"Acton, London, England, England",3,3.0,3.0,2.0,2.0,3.0,3.0,x,r,r,favourism exists,"nice office, location isn't too bad but parking is an issue if you drive","depends if you're in the right hands with the right people, otherwise favourism exists and you will feel it a lot"
Dixons-Carphone,2021-01-17, Retail Sales Consultant,"Former Employee, more than 1 year","London, England, England",5,5.0,4.0,5.0,4.0,4.0,4.0,v,v,r,Working for currys,"great selling skills acquired, good understanding of targets alignment with overall company's goals and direction. At the heart of dixons 3-in-1 strategy",Pressure for additional services sales.
Dixons-Carphone,2020-11-11, Manager,"Former Employee, more than 8 years","Middlesbrough, England, England",5,2.0,5.0,5.0,5.0,5.0,5.0,v,o,o,Manager,"Career Developed, managers care, people support you.",Not so many weekends free
Dixons-Carphone,2021-06-02, Sales Assistant,"Former Employee, more than 1 year","Portsmouth, South East England, England, England",3,4.0,3.0,3.0,1.0,3.0,2.0,x,r,x,It’s okay as long as you don’t work here full time,"-flexible hours
-staff perks
-support from HR","-The managers need more training as none of them know anything about the products.

-It’s impossible to work here full-time, the place is very dull, no music. 

-I’ve worked for many retail stores and this place had the worst type of customers, most of them come to the store to complain about their appliances

-no opportunity for quick growth. On average, it takes at least 5 years to be promoted."
Dixons-Carphone,2020-10-25, Store Manager,"Former Employee, more than 10 years","Chelmsford, England, England",3,1.0,2.0,2.0,4.0,4.0,1.0,x,r,r,No work life balance,Great colleagues and work is interesting,Expect too much from staff and managers
Dixons-Carphone,2021-03-24, Business Account Executive,"Current Employee, less than 1 year","Manchester, England, England",5,4.0,5.0,4.0,4.0,3.0,4.0,v,r,v,Business Account Executive,Great Company Culture and positive workplace envirionment,Limited time to get trained
Dixons-Carphone,2020-10-04, Sales Manager,"Current Employee, more than 3 years","Loughborough, England, England",2,3.0,3.0,3.0,3.0,2.0,2.0,x,x,x,Could be better,"Atmosphere, training, the staff make the job, discounts","Underappreciated, wage doesn't match workload"
Dixons-Carphone,2021-01-09, Sales Manager,Current Employee,"Nottingham, England, England",5,3.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Always things to do,Exciting fast pace sales environment if you can hit target and over achieve very good bonus as a sales manager,Working Xmas but that’s retail
Doubletree-By-Hilton,2020-11-24, Event Sales Executive,"Former Employee, less than 1 year","London, England, England",5,5.0,5.0,5.0,3.0,3.0,5.0,v,r,v,great,"friendly environment, good support, nice office",food at the canteen not good at all
Doubletree-By-Hilton,2021-02-03, Sales Manager,"Former Employee, more than 1 year","Victoria, BC",4,3.0,4.0,5.0,5.0,3.0,4.0,o,o,o,Good company for career growth. Great leadership,"Amazing industry, good perks, great mentorship",low pay for the role compared to other industries
Doubletree-By-Hilton,2020-12-12, Lobby Attendant,Former Employee,"Phoenix, AZ",5,5.0,5.0,5.0,5.0,5.0,3.0,v,r,v,Lobby attendant/housekeeping,Clean hotel clean rooms if needed,Helping the guest to their room driving them around
Doubletree-By-Hilton,2020-10-21, Assistant Food and Beverage Manager,"Former Employee, more than 1 year","Kingston upon Thames, England, England",5,3.0,5.0,4.0,5.0,4.0,5.0,v,v,v,Fantastic hotel,Great team. Great memories and great customers,"No parking, small amount of storage areas."
Doubletree-By-Hilton,2020-10-01, Retail Sales Associate,Former Employee,"Cheltenham, England, England",4,3.0,4.0,3.0,3.0,4.0,4.0,v,v,r,Great Facilities,Good gym facilities and friendly staff,Gym membership is too expensive
Doubletree-By-Hilton,2021-02-08, Front Desk Receptionist,Former Employee,"London, England, England",5,3.0,5.0,5.0,4.0,3.0,5.0,v,r,v,Lovely people,Lovely people to work with.,Weekly rotation but I believe this is normal in hospitality.
Doubletree-By-Hilton,2020-12-30, Sales Associate,Current Employee,"King's Lynn, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,o,v,Lovely company,Feel like a person not a number,Don't have any amazing company
Doubletree-By-Hilton,2020-11-17, Group Conference and Events Sales Executive,"Former Employee, more than 1 year","Aberdeen, Scotland, Scotland",3,4.0,2.0,3.0,5.0,5.0,1.0,x,v,r,"Interesting job with a lot of oppertunity to grow, but toxic enviroment","Opportunity to grow, good salary, great benefits and training potential",the environment can be a bit toxic and sometimes sexist but that may be my specific branch and may not reflect on the company as a whole
Doubletree-By-Hilton,2020-10-19, Barista ,Former Employee,"Regina, SK",4,3.0,5.0,5.0,3.0,5.0,3.0,v,r,r,Barista,"Great pay
Good benefits
Tips
Friendly staff
You have great clientele and regulars","Some debatable management
Supervisors disliked their position and their wage wasn't sufficient to they work they were doing."
Doubletree-By-Hilton,2021-04-23, Front Desk Agent,"Former Employee, more than 1 year","Gainesville, FL",2,3.0,2.0,2.0,2.0,2.0,2.0,x,o,x,Too many issues on all levels,"Each department has good internal communication.
Everyone is friendly for the most part.
Very flexible schedules.","Department to department communication has lots of issues.
Cleanliness of rooms causes many issues between departments and between guests/hotel.
Too many people shifting responsibilities and blame.
Switches GMs waay too often and management is a mess."
Doubletree-By-Hilton,2021-01-11, Werehouse,Current Employee,"Chula Vista, CA",2,4.0,2.0,2.0,2.0,2.0,2.0,x,x,x,buena,accommodation discount in other hotels,"terrible organization and management,bad work environment"
Doubletree-By-Hilton,2020-12-29, Recreation Assistant,"Former Employee, more than 1 year","Lancaster, PA",3,4.0,2.0,3.0,2.0,2.0,1.0,x,r,x,Inconsistent hours and poor pay,The job itself is fun. Interactions with people are normally good. Staff is friendly.,Hardly any house unless it’s summer time. Management doesn’t keep in contact. Low pay.
Doubletree-By-Hilton,2021-01-18, Server/Bartender,"Current Employee, more than 3 years","Biloxi, MS",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great company,"Benefits, Travel discounts, Daily Regulars",Not a local bar or restaurant
Doubletree-By-Hilton,2021-05-28, Front Desk Agent,"Current Employee, less than 1 year","Columbus, OH",4,2.0,2.0,4.0,2.0,2.0,2.0,x,r,r,"Great cookies, not so great management.",Free cookies and water bottles.,"Standing all day
Amateur management
Revolving door"
Doubletree-By-Hilton,2020-10-27, Front Desk Receptionist,Former Employee,"Hyannis, MA",4,5.0,5.0,5.0,4.0,4.0,4.0,v,r,v,Nice job,"Good hours, Hilton team member benefits","Bad managment, nothing else to mention"
Doubletree-By-Hilton,2021-01-09, Manager,"Former Employee, more than 1 year","Dallas, TX",4,4.0,4.0,4.0,4.0,4.0,4.0,v,v,v,Great Place to Work,"There are growth opportunities. Being a recognized world-wide brand, you can transfer almost anywhere.","There was not a banquet diagram system, as it was not in the budget."
Doubletree-By-Hilton,2021-04-14, Assistant Learning & Development Manager,Current Employee,Aqaba,3,3.0,4.0,5.0,3.0,3.0,4.0,v,v,v,Learning and Development,"Salary
Health Insurance
close to city
great GM
female supportive","BAD SCHOOLING
EXPENSIVE SCHOOLING
NOISE
SOMETIMES THINGS GET PERSONAL
HR"
Doubletree-By-Hilton,2020-10-11, Banquet Server,"Former Employee, more than 3 years","Murfreesboro, TN",3,2.0,3.0,4.0,3.0,3.0,2.0,o,o,o,Great cookies!,They have a great cookie you can eat whenever you want!,"None that I can think of, I enjoyed my time there."
Doubletree-By-Hilton,2021-01-12, Restaurant Supervisor,"Current Employee, more than 1 year",Minsk,3,2.0,3.0,3.0,1.0,3.0,1.0,x,r,r,Toxic company,"Poor management, no career development","Only friends of management can get promotion, doesn’t matter how you’re doing your job."
Doubletree-By-Hilton,2020-11-06, Pool Attendant,"Current Employee, more than 1 year","Lancaster, PA",4,5.0,4.0,5.0,5.0,3.0,5.0,v,v,v,He’s,"Easy, minimal work but good pay",Can be boring and hot
Doubletree-By-Hilton,2020-11-10, Barman/Waiter,Current Employee,Cape Town,5,4.0,4.0,5.0,5.0,4.0,4.0,v,v,r,A Company that promotes the taking of initiative,The company is an excellent company because it provides opportunities for further training it also promotes cross training to allow for staff to gain experience in many different departments.,There isn’t much I can criticize the company for.
Doubletree-By-Hilton,2020-10-03, Server/Waitress,"Former Employee, less than 1 year","Lawrence, KS",2,2.0,1.0,1.0,1.0,1.0,1.0,x,r,x,Job Seekers Beware,"It took a while to think of any because I worked there for a brief period of time:
-they have these cookies they give to a lot of people
-didn't give me many problems after I quit, easy exit","-Most items are store bought, not made in house like advertised
-Management seems to fair on the abusive side, I saw the Chef/associates being very disrespectful and brash with several other coworkers. I quit after a nightmare service one night when I was one of only two servers in restaurant. A customer got angry with me one of the first nights I was there because no one could figure out the POS system (one of the cooks had to run the POS system because no one was trained how to) and I couldn't give him drink prices right away. Just no training at all. 
-The place needs a huge clean and face lift. 
-Management wasn't present during most services and would take off and leave new employees to fend for themselves. 
-I was told that several several staff are hired and quit/get fired routinely... on my first day."
Doubletree-By-Hilton,2021-01-26, Duty Manager,"Former Employee, more than 1 year",North Goa,3,3.0,3.0,3.0,3.0,1.0,3.0,o,o,o,Low salary,"Management is good, helps you except HR team","Low salary, worst accomodation, long working hours"
Doubletree-By-Hilton,2021-04-30, Food and Beverage Assistant,"Former Employee, less than 1 year","Edinburgh, Scotland, Scotland",4,4.0,3.0,3.0,4.0,4.0,5.0,v,r,v,Okay for a beginner.,"Friendly management and colleagues. 
Fun working environment","Under staffed most times, especially when its peak season."
Doubletree-By-Hilton,2020-10-05, Sales Manager,"Current Employee, less than 1 year","Dayton, OH",4,5.0,3.0,4.0,3.0,1.0,4.0,v,v,x,Flexible,"Flexibility, discounts, support from management",health insurance cost is outrageous
Doubletree-By-Hilton,2021-04-18, Valet,"Former Employee, more than 1 year","Milwaukee, WI",4,3.0,4.0,5.0,3.0,5.0,4.0,o,o,o,Great,"Food, schedule, location, people, management",not enough hours during the holidays
Doubletree-By-Hilton,2020-12-09, Server/Waiter,"Former Employee, less than 1 year","Sacramento, CA",5,5.0,5.0,5.0,5.0,4.0,5.0,o,o,o,Great Time,"caring staff, fun, friendly, and great management team",People would call off and you were expected to show
Doubletree-By-Hilton,2021-04-15, Shuttle Driver and Bell Hop,"Former Employee, more than 1 year","Virginia Beach, VA",4,3.0,3.0,5.0,4.0,1.0,4.0,v,v,v,Decent Job,"simple, stressful at times, can be very rewarding",can be very slow at times.
Doubletree-By-Hilton,2021-04-12, Food and Beverage Assistant,"Former Employee, more than 1 year","Gainesville, FL",3,4.0,2.0,2.0,3.0,3.0,1.0,x,o,o,Mod,Flexible with time off for the most part,Worked under rude/racist management that never got in trouble
Doubletree-By-Hilton,2021-01-13, Bartender,"Former Employee, more than 8 years","Tinton Falls, NJ",4,3.0,3.0,3.0,3.0,4.0,2.0,o,o,o,Easy money,Money was good. Good management,Long hours. A lot of downtime
Doubletree-By-Hilton,2021-01-13, Guest Services,"Former Employee, more than 1 year","Leeds, England, England",4,3.0,4.0,5.0,3.0,3.0,4.0,o,o,o,Good place to work,Good colleagues to work with,"Hours, but again, you should know what you are going for"
Doubletree-By-Hilton,2021-03-28, Accounts Receivable,"Former Employee, more than 5 years","Sunny Isles Beach, FL",1,1.0,1.0,1.0,1.0,1.0,1.0,x,v,x,A/R clerk,New management style incorporating newest technologies,Undergoing centralization and practicing agressive attrition. Skeleton staff!!
Doubletree-By-Hilton,2020-12-29, Assistant Front Desk Manager,Former Employee,"Aberdeen, Scotland, Scotland",1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,x,Absolutely horrible mess,"None, seriously can't think of anything.","Absolutely everything! No one knew what they were doing, no proper training! No wonder the hotel closed! I would have given zero if that was possible."
